source_character	codepoint	transport_replacement	occurrences
 	U+00A0	 	548
©	U+00A9	[U+00A9]	2
­	U+00AD		1
®	U+00AE	(R)	3875
Â	U+00C2	[U+00C2]	11
Ã	U+00C3	[U+00C3]	2
á	U+00E1	[U+00E1]	32
ç	U+00E7	[U+00E7]	2
è	U+00E8	[U+00E8]	4
é	U+00E9	[U+00E9]	8
î	U+00EE	[U+00EE]	1
ö	U+00F6	[U+00F6]	1
ă	U+0103	[U+0103]	1
أ	U+0623	[U+0623]	2
إ	U+0625	[U+0625]	2
ئ	U+0626	[U+0626]	1
ا	U+0627	[U+0627]	29
ب	U+0628	[U+0628]	5
ت	U+062A	[U+062A]	6
ج	U+062C	[U+062C]	3
ح	U+062D	[U+062D]	4
خ	U+062E	[U+062E]	8
د	U+062F	[U+062F]	7
ر	U+0631	[U+0631]	9
س	U+0633	[U+0633]	8
ص	U+0635	[U+0635]	2
ط	U+0637	[U+0637]	1
ع	U+0639	[U+0639]	2
غ	U+063A	[U+063A]	2
ف	U+0641	[U+0641]	2
ق	U+0642	[U+0642]	2
ك	U+0643	[U+0643]	8
ل	U+0644	[U+0644]	18
م	U+0645	[U+0645]	19
ن	U+0646	[U+0646]	2
ه	U+0647	[U+0647]	2
و	U+0648	[U+0648]	1
ى	U+0649	[U+0649]	2
ي	U+064A	[U+064A]	6
ً	U+064B	[U+064B]	4
َ	U+064E	[U+064E]	2
ی	U+06CC	[U+06CC]	1
ं	U+0902	[U+0902]	1
इ	U+0907	[U+0907]	1
क	U+0915	[U+0915]	4
च	U+091A	[U+091A]	1
छ	U+091B	[U+091B]	1
ट	U+091F	[U+091F]	1
ड	U+0921	[U+0921]	1
त	U+0924	[U+0924]	6
थ	U+0925	[U+0925]	1
द	U+0926	[U+0926]	1
न	U+0928	[U+0928]	1
प	U+092A	[U+092A]	10
म	U+092E	[U+092E]	5
र	U+0930	[U+0930]	7
ल	U+0932	[U+0932]	12
व	U+0935	[U+0935]	1
श	U+0936	[U+0936]	1
स	U+0938	[U+0938]	1
ह	U+0939	[U+0939]	2
ा	U+093E	[U+093E]	5
ि	U+093F	[U+093F]	7
ी	U+0940	[U+0940]	1
ू	U+0942	[U+0942]	1
े	U+0947	[U+0947]	5
्	U+094D	[U+094D]	14
উ	U+0989	[U+0989]	2
ন	U+09A8	[U+09A8]	2
প	U+09AA	[U+09AA]	6
ল	U+09B2	[U+09B2]	6
া	U+09BE	[U+09BE]	8
ਕ	U+0A15	[U+0A15]	2
ਜ	U+0A1C	[U+0A1C]	1
ਦ	U+0A26	[U+0A26]	2
ਮ	U+0A2E	[U+0A2E]	1
ਲ	U+0A32	[U+0A32]	1
ਸ	U+0A38	[U+0A38]	1
ਹ	U+0A39	[U+0A39]	1
ਾ	U+0A3E	[U+0A3E]	2
ੀ	U+0A40	[U+0A40]	1
ੂ	U+0A42	[U+0A42]	1
ੋ	U+0A4B	[U+0A4B]	1
ੌ	U+0A4C	[U+0A4C]	1
ં	U+0A82	[U+0A82]	2
જ	U+0A9C	[U+0A9C]	22
ઠ	U+0AA0	[U+0AA0]	34
ત	U+0AA4	[U+0AA4]	2
થ	U+0AA5	[U+0AA5]	2
દ	U+0AA6	[U+0AA6]	34
પ	U+0AAA	[U+0AAA]	2
ર	U+0AB0	[U+0AB0]	26
ા	U+0ABE	[U+0ABE]	2
ી	U+0AC0	[U+0AC0]	34
ૂ	U+0AC2	[U+0AC2]	2
ે	U+0AC7	[U+0AC7]	22
ଗ	U+0B17	[U+0B17]	1
ଣ	U+0B23	[U+0B23]	1
ତ	U+0B24	[U+0B24]	1
ନ	U+0B28	[U+0B28]	1
ମ	U+0B2E	[U+0B2E]	1
ର	U+0B30	[U+0B30]	1
ସ	U+0B38	[U+0B38]	1
ା	U+0B3E	[U+0B3E]	2
ୁ	U+0B41	[U+0B41]	1
େ	U+0B47	[U+0B47]	1
୍	U+0B4D	[U+0B4D]	1
ஏ	U+0B8F	[U+0B8F]	1
ஒ	U+0B92	[U+0B92]	1
ட	U+0B9F	[U+0B9F]	1
ன	U+0BA9	[U+0BA9]	4
ற	U+0BB1	[U+0BB1]	2
ல	U+0BB2	[U+0BB2]	1
வ	U+0BB5	[U+0BB5]	1
ா	U+0BBE	[U+0BBE]	1
ு	U+0BC1	[U+0BC1]	2
ெ	U+0BC6	[U+0BC6]	1
்	U+0BCD	[U+0BCD]	4
ಂ	U+0C82	[U+0C82]	1
ಕ	U+0C95	[U+0C95]	8
ಟ	U+0C9F	[U+0C9F]	1
ನ	U+0CA8	[U+0CA8]	16
ವ	U+0CB5	[U+0CB5]	8
ು	U+0CC1	[U+0CC1]	8
್	U+0CCD	[U+0CCD]	8
ക	U+0D15	[U+0D15]	16
ന	U+0D28	[U+0D28]	3
യ	U+0D2F	[U+0D2F]	8
ര	U+0D30	[U+0D30]	8
റ	U+0D31	[U+0D31]	3
ാ	U+0D3E	[U+0D3E]	8
ി	U+0D3F	[U+0D3F]	19
്	U+0D4D	[U+0D4D]	11
එ	U+0D91	[U+0D91]	1
ක	U+0D9A	[U+0D9A]	2
්	U+0DCA	[U+0DCA]	1
‎	U+200E		6
–	U+2013	-	4
•	U+2022	*	142
™	U+2122	(TM)	4
≤	U+2264	[U+2264]	2
♠	U+2660	[U+2660]	78
♣	U+2663	[U+2663]	76
♥	U+2665	[U+2665]	74
♦	U+2666	[U+2666]	74
❯	U+276F	[U+276F]	2
份	U+4EFD	[U+4EFD]	8
值	U+503C	[U+503C]	1
